hcpcs_code,state,code_category,avg_payment,p25_payment,p50_payment,p75_payment,p90_payment,p75_p25_spread,p90_p50_ratio,provider_count,total_claims
99283,CT,ED Code,115.86,39.35,48.19,52.15,464.03,12.8,9.63,934,20662
99213,CA,Office Visit,17.96,0,6.9,27.37,51.38,27.37,7.45,182368,9612190
99283,RI,ED Code,173.59,54.74,67.99,342.14,430.51,287.4,6.33,3658,69762
99215,WV,Office Visit,122.9,51.02,62.86,133.43,351.98,82.41,5.6,70,1525
99285,HI,ED Code,156.56,92.49,103.05,116.35,513.61,23.86,4.98,123,2030
99284,AL,ED Code,33.31,0,16.18,70.25,73.4,70.25,4.54,194,5001
99214,CA,Office Visit,34.22,2.08,25.21,50.99,92.7,48.91,3.68,166847,8382291
99213,FL,Office Visit,36.71,12.14,28.75,54.93,88.96,42.79,3.09,33451,1524538
99214,FL,Office Visit,43.15,12.15,36.79,54.45,107.41,42.3,2.92,42252,1602513
99285,NJ,ED Code,65.75,30.28,45.83,95.94,131.46,65.66,2.87,2498,48606
99215,NY,Office Visit,53.19,26.08,41.11,71.84,110.81,45.76,2.7,19066,447225
99215,CA,Office Visit,66.4,20.23,56.43,95.2,150.86,74.97,2.67,23443,1069788
99214,NY,Office Visit,43.36,22.54,35.04,59.69,85.68,37.15,2.45,637271,20966147
99215,ND,Office Visit,76.15,36.43,62.45,129.78,150.59,93.35,2.41,64,1095
99215,GA,Office Visit,49.55,24.39,42.05,69.66,101.52,45.27,2.41,330,7250
99283,NE,ED Code,42.56,24.41,39.86,45.94,93.33,21.53,2.34,61,1121
99215,IN,Office Visit,68.92,45.46,59.36,85.41,137.96,39.95,2.32,871,18172
99283,CA,ED Code,56.64,39.62,44.5,74.64,100,35.02,2.25,1108,23187
99285,VT,ED Code,18.69,10.34,15.51,30.41,34.13,20.07,2.2,121,1804
99214,WA,Office Visit,44.3,19.22,41.24,67.68,90.2,48.46,2.19,4266,129754
99285,NY,ED Code,42.82,26.13,36.55,51.07,79.29,24.94,2.17,39721,655183
99214,KS,Office Visit,32.94,0,31.98,46.51,68.72,46.51,2.15,2361,74236
99213,NY,Office Visit,37.42,18.58,32.96,54.1,70.48,35.52,2.14,674315,39339883
99284,NJ,ED Code,59.25,35.23,46.99,84.12,100.09,48.89,2.13,3008,70896
99283,UT,ED Code,57.76,45.88,49.16,61.88,102.13,16,2.08,78,1451
99215,SC,Office Visit,71.96,30.81,68.67,110.72,140.37,79.91,2.04,89,1638
99214,AP,Office Visit,45.67,20.11,42.61,73.1,86.29,52.99,2.03,39,1230
99213,ND,Office Visit,28.32,14.04,25.68,41.02,51.23,26.98,1.99,435,16192
99214,TN,Office Visit,31.68,16.84,29.25,42.82,57.86,25.98,1.98,18561,826402
99213,CT,Office Visit,31.86,15.95,31.37,43.45,60.94,27.5,1.94,15258,655030
99214,NJ,Office Visit,42.39,25.69,38.54,53.28,72.79,27.59,1.89,51487,2287297
99283,NJ,ED Code,44.81,19.18,29.57,43.44,55.72,24.26,1.88,576,9855
99214,AK,Office Visit,96.25,48.35,96.29,156.97,179.98,108.62,1.87,1190,34015
99214,CT,Office Visit,52.16,32.72,49.79,69.4,93.26,36.68,1.87,13664,595237
99214,HI,Office Visit,57.2,33.44,54.33,80.43,100.61,46.99,1.85,5657,207022
99214,NH,Office Visit,47.76,21.69,45.18,69.85,83.53,48.16,1.85,1281,46165
99214,MN,Office Visit,63.76,43.36,62.27,91.59,114.72,48.23,1.84,2280,100163
99283,NY,ED Code,26.52,18.98,22.88,33.57,41.7,14.59,1.82,5434,100520
99214,NC,Office Visit,49.77,25.75,49.02,72.01,88.2,46.26,1.8,14106,549189
99213,TN,Office Visit,24.98,13.58,24.43,33.28,43.75,19.7,1.79,18761,781301
99213,HI,Office Visit,35.91,18,36.28,51.14,65.01,33.14,1.79,5823,243373
99214,MA,Office Visit,50.64,1.33,56.29,82.79,100.73,81.46,1.79,83481,2735667
99284,NY,ED Code,46.57,30.8,38.35,45.02,68.35,14.22,1.78,42628,789165
99213,WI,Office Visit,34.7,23.47,32.12,46.04,56.53,22.57,1.76,11995,424834
99215,AR,Office Visit,45.32,32.84,44.82,55.74,78.52,22.9,1.75,465,11954
99214,SC,Office Visit,59.06,39.2,57.24,80.74,99.65,41.54,1.74,5587,185252
99215,NM,Office Visit,123.8,91.23,120.22,170.6,208.1,79.37,1.73,392,6405
99214,WY,Office Visit,63.62,49.18,59.64,67.71,102.97,18.53,1.73,831,29312
99215,FL,Office Visit,40.44,8.55,43.29,65.86,74.72,57.31,1.73,1264,42488
99213,CO,Office Visit,40.68,23.61,40.39,53.24,69.67,29.63,1.72,2846,92855
99215,CO,Office Visit,70.87,34.97,72.54,112.86,123.82,77.89,1.71,513,13562
99213,MO,Office Visit,46.58,29.87,43.87,64.2,74.98,34.33,1.71,11659,364025
99215,MS,Office Visit,45.74,28.34,42.93,61.22,72.7,32.88,1.69,299,5533
99213,NC,Office Visit,35.78,20.99,36.13,49.12,61.1,28.13,1.69,8673,364636
99215,OR,Office Visit,108.75,62.64,109.58,145.28,184.97,82.64,1.69,199,4860
99214,WI,Office Visit,46.76,28.86,46.05,64.02,77.3,35.16,1.68,15080,577388
99213,MA,Office Visit,35.61,3.24,40.59,56.16,67.76,52.92,1.67,69110,2069556
99214,MO,Office Visit,59.13,42.39,55.68,73.49,92.32,31.1,1.66,12568,321198
99213,OR,Office Visit,45.02,32.05,42.32,58.07,70.22,26.02,1.66,2303,52003
99213,MN,Office Visit,36.48,26.62,36.14,47.04,59.9,20.42,1.66,2454,74573
99214,MS,Office Visit,54.51,35.19,52.67,73.42,87.06,38.23,1.65,6395,265120
99213,SD,Office Visit,39.72,27.16,37.08,52.02,61.35,24.86,1.65,648,27235
99215,NC,Office Visit,64.61,43.85,64.4,81.49,105.53,37.64,1.64,1150,34064
99215,UT,Office Visit,69.63,42.49,73.63,86.31,120.23,43.82,1.63,47,1064
99215,MA,Office Visit,60.02,6.22,72.19,93.39,116.6,87.17,1.62,3018,65783
99215,OK,Office Visit,108.41,93.44,98.28,149.35,158.84,55.91,1.62,96,2699
99214,GA,Office Visit,50.22,30.5,51.96,67.03,82.93,36.53,1.6,5986,187336
99214,XX,Office Visit,78.73,67.61,70.61,90.65,112.95,23.04,1.6,65,1486
99215,MD,Office Visit,114.74,80.44,113.42,154,181.21,73.56,1.6,3087,97978
99215,MN,Office Visit,56.68,37.78,51.77,70.91,81.58,33.13,1.58,81,1474
99215,HI,Office Visit,76.7,52.04,72.5,107.26,114.47,55.22,1.58,179,4734
99213,NJ,Office Visit,31.69,21.43,31.48,40.74,49.64,19.31,1.58,65802,3585118
99213,NM,Office Visit,74.43,55.48,69.71,101.26,110.19,45.78,1.58,1922,45066
99215,TN,Office Visit,39.37,22.95,37.63,51.86,59.28,28.91,1.58,871,22988
99283,NC,ED Code,44.48,38.5,39.86,48.27,62.42,9.77,1.57,807,23479
99213,KS,Office Visit,31.35,21.04,29.18,34.85,45.58,13.81,1.56,1190,33241
99215,ME,Office Visit,54.09,42.59,48.63,64.29,75.8,21.7,1.56,115,2340
99213,NH,Office Visit,47.33,39.16,47.69,57.62,74.52,18.46,1.56,534,10465
99215,WA,Office Visit,59.58,49.41,56.19,69.04,86.87,19.63,1.55,145,3248
99214,MD,Office Visit,80.91,55.61,84.39,109.91,130.91,54.3,1.55,25158,951482
99213,WA,Office Visit,36.79,22.18,39.17,48.74,60.48,26.56,1.54,5122,129128
99215,VA,Office Visit,83.49,63.85,80.47,103.73,123.97,39.88,1.54,1037,22511
99284,OR,ED Code,62.55,37.78,58.41,85.23,89.91,47.45,1.54,49,847
99214,RI,Office Visit,78.89,64.17,72.45,93.13,111.17,28.96,1.53,26394,764285
99214,OR,Office Visit,70.53,51.57,72.56,94.17,111.18,42.6,1.53,2518,77301
