state,p25_payment,p50_payment,p75_payment,p90_payment,p75_p25_spread,p90_p50_ratio,provider_count,total_claims
CA,2.08,25.21,50.99,92.7,48.91,3.68,166847,8382291
FL,12.15,36.79,54.45,107.41,42.3,2.92,42252,1602513
NY,22.54,35.04,59.69,85.68,37.15,2.45,637271,20966147
WA,19.22,41.24,67.68,90.2,48.46,2.19,4266,129754
KS,0,31.98,46.51,68.72,46.51,2.15,2361,74236
TN,16.84,29.25,42.82,57.86,25.98,1.98,18561,826402
NJ,25.69,38.54,53.28,72.79,27.59,1.89,51487,2287297
AK,48.35,96.29,156.97,179.98,108.62,1.87,1190,34015
CT,32.72,49.79,69.4,93.26,36.68,1.87,13664,595237
HI,33.44,54.33,80.43,100.61,46.99,1.85,5657,207022
NH,21.69,45.18,69.85,83.53,48.16,1.85,1281,46165
MN,43.36,62.27,91.59,114.72,48.23,1.84,2280,100163
NC,25.75,49.02,72.01,88.2,46.26,1.8,14106,549189
MA,1.33,56.29,82.79,100.73,81.46,1.79,83481,2735667
SC,39.2,57.24,80.74,99.65,41.54,1.74,5587,185252
WY,49.18,59.64,67.71,102.97,18.53,1.73,831,29312
WI,28.86,46.05,64.02,77.3,35.16,1.68,15080,577388
MO,42.39,55.68,73.49,92.32,31.1,1.66,12568,321198
MS,35.19,52.67,73.42,87.06,38.23,1.65,6395,265120
GA,30.5,51.96,67.03,82.93,36.53,1.6,5986,187336
XX,67.61,70.61,90.65,112.95,23.04,1.6,65,1486
MD,55.61,84.39,109.91,130.91,54.3,1.55,25158,951482
RI,64.17,72.45,93.13,111.17,28.96,1.53,26394,764285
OR,51.57,72.56,94.17,111.18,42.6,1.53,2518,77301
NM,83.28,98.33,137.58,148.18,54.3,1.51,2047,53803
AR,33.14,46.24,58.54,69.18,25.4,1.5,12961,452982
DE,36.42,68.39,92.45,101.9,56.03,1.49,1192,28809
AL,0,59.88,77.32,88.23,77.32,1.47,5651,242162
ND,46.52,63.1,77.95,90.14,31.43,1.43,604,18334
IA,45.27,57.13,69.4,81.52,24.13,1.43,5960,172596
IN,49.94,64.49,78.09,91.34,28.15,1.42,15905,777039
NV,51.68,70.82,87.5,99.74,35.82,1.41,5641,267226
MI,56.63,74.89,90.18,105.32,33.55,1.41,13858,515249
IL,45.48,59.85,72.23,83.94,26.75,1.4,736470,23575688
WV,45.09,58.49,72.32,81.99,27.23,1.4,6293,261208
KY,35.29,45.35,55.25,63.15,19.96,1.39,18614,603407
CO,47.62,67.65,84.96,94.1,37.34,1.39,3847,174476
VA,46.52,65.91,83.39,91.5,36.87,1.39,17098,781576
LA,27.52,43.26,53.16,59.89,25.64,1.38,27624,1651174
UT,47.55,65.23,77.12,89.65,29.57,1.37,2598,79436
DC,59.27,83.61,104.85,113.74,45.58,1.36,2884,105186
NE,46.9,60.42,71.06,81.27,24.16,1.35,1779,66751
VT,59.45,80.39,94.74,107.18,35.29,1.33,1542,52946
AZ,47.59,60.05,70.74,79.9,23.15,1.33,15259,634600
MT,98.08,120.25,140.86,158.25,42.78,1.32,1965,47376
PA,38.91,49.04,56.27,64.39,17.36,1.31,246840,7814146
SD,41.5,46.26,55.61,60.17,14.11,1.3,149,3444
OH,40.35,54.01,63.67,69.59,23.32,1.29,25959,1027637
ID,77.73,88.75,100.27,114.85,22.54,1.29,1114,33384
ME,54.8,69.82,81.57,89.67,26.77,1.28,1541,45931
OK,67.15,87.44,101.83,109.88,34.68,1.26,3622,159233
GU,68.38,78.72,88.35,97.79,19.97,1.24,682,85633
TX,37.53,45.6,50.66,55.67,13.13,1.22,41853,1775323
PR,90.78,100.55,104.15,118.57,13.37,1.18,9141,371815
VI,69.72,117.89,122.16,131.18,52.44,1.11,237,6895
